224,3
352,4
480,5
608,6
96,1
97,2
225,3
353,4
481,5
609,6
97,1
98,2
226,3
354,4
482,5
610,6
98,1
99,2
227,3
355,4
483,5
611,6
99,1
100,2
228,3
356,4
484,5
612,6
100,1
101,2
229,3
357,4
485,5
613,6
101,1
102,2
230,3
358,4
486,5
614,6
102,1
103,2
231,3
359,4
487,5
615,6
103,1
104,2
232,3
360,4
488,5
616,6
104,1
105,2
233,3
361,4
489,5
617,6
105,1
106,2
234,3
362,4
490,5
618,6
106,1
107,2
235,3
363,4
491,5
619,6
107,1
108,2
236,3
364,4
492,5
620,6
108,1
109,2
237,3
365,4
493,5
621,6
109,1
110,2
238,3
366,4
494,5
622,6
110,1
111,2
239,3
367,4
495,5
623,6
111,1
112,2
240,3
368,4
496,5
624,6
112,1
113,2
241,3
369,4
497,5
625,6
113,1
114,2
242,3
370,4
498,5
626,6
114,1
115,2
243,3
371,4
499,5
627,6
115,1
116,2
244,3
372,4
500,5
628,6
116,1
117,2
245,3
373,4
501,5
629,6
117,1
118,2
246,3
374,4
502,5
630,6
118,1
119,2
247,3
375,4
503,5
631,6
119,1
120,2
248,3
376,4
504,5
632,6
120,1
121,2
249,3
377,4
505,5
633,6
121,1
122,2
250,3
378,4
506,5
634,6
122,1
123,2
251,3
379,4
507,5
635,6
123,1
124,2
252,3
380,4
508,5
636,6
124,1
125,2
253,3
381,4
509,5
637,6
125,1
126,2
254,3
382,4
510,5
638,6
126,1
127,2
255,3
383,4
511,5
639,6
127,1
128,2
256,3
384,4
512,5
640,6
128,1
129,2
257,3
385,4
513,5
641,6
